kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
INTAKE,A734456,40218,STRAY,OTC,2023-07-12 00:00:00,STRAY,TNR,CARETAKER,2023-07-14 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40218,20508
FOUND,A720004,,FOUND,WEB,2022-07-22 00:00:00,,,,,DOG,F,,MED,BLACK,AM PIT BULL TER,,20509
FOSTER,A720033,40216,STRAY,OTC,2022-07-23 00:00:00,STRAY,FOSTER,TOO YOUNG,2022-07-28 00:00:00,DOG,S,N,PUPPY,WHITE / RED,PIT BULL,40216,20510
TNR/SNR,A720371,40299,STRAY,OTC,2022-07-27 00:00:00,STRAY,SNR,,2022-07-29 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC SH,40299,20511
FOUND,A720546,,FOUND,WEB,2022-07-27 00:00:00,,,,,DOG,M,,LARGE,UNKNOWN,AM PIT BULL TER,,20512
K107,A720595,40299,STRAY,OTC,2022-07-31 00:00:00,STRAY,RTO,IN KENNEL,2022-08-02 00:00:00,DOG,F,N,SMALL,WHITE / TRICOLOR,BEAGLE / JACK RUSS TER,40299,20513
N32,A720628,40215,STRAY,OTC,2022-08-01 00:00:00,STRAY,ADOPTION,WEB METRO,2022-08-09 00:00:00,DOG,S,N,SMALL,WHITE,SHIH TZU,40204,20514
TNR/SNR,A720798,40219,STRAY,OTC,2022-08-03 00:00:00,STRAY,SNR,,2022-08-05 00:00:00,CAT,S,N,SMALL,SILVER,DOMESTIC SH,40219,20515
N38,A720845,40272,FOSTER,RETURN,2022-10-25 00:00:00,STRAY,ADOPTION,WALK IN,2022-10-27 00:00:00,CAT,S,N,KITTN,GRAY,DOMESTIC SH,40272,20516
FOSTER,A725292,40219,STRAY,OTC,2022-10-12 00:00:00,STRAY,FOSTER,STRAY,2022-10-17 00:00:00,DOG,S,N,TOY,CREAM,MALTESE / MIX,40291,20517
