kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
NF1,A717099,40218,FOSTER,RETURN,2022-07-27 00:00:00,FOSTER RET,ADOPTION,WALK IN,2022-07-29 00:00:00,CAT,S,N,KITTN,BUFF / WHITE,DOMESTIC SH,40216,6871
TNR/SNR,A693996,40299,STRAY,OTC,2021-06-21 00:00:00,STRAY,SNR,,2021-06-23 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40299,6872
C201,A701741,40211,FOSTER,RETURN,2021-12-28 00:00:00,STRAY,ADOPTION,FOSTER,2021-12-28 00:00:00,CAT,N,N,KITTN,WHITE / BRN TABBY,DOMESTIC SH,40299,6873
LOST,A699255,,LOST,WEB,2021-09-01 00:00:00,,,,,DOG,M,,,UNKNOWN,GOLDEN RETR,40219,6874
N51,A698122,40211,FOSTER,RETURN,2021-11-19 00:00:00,STRAY,ADOPTION,INTERNET,2021-11-19 00:00:00,CAT,S,N,KITTN,WHITE / GRAY,DOMESTIC SH,40215,6875
TNR/SNR,A690005,40291,STRAY,OTC,2021-03-11 00:00:00,STRAY,SNR,,2021-03-17 00:00:00,CAT,N,N,MED,BLACK,DOMESTIC SH,40291,6876
C304,A701847,40216,STRAY,OTC,2021-09-28 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-10-04 00:00:00,CAT,S,N,KITTN,GRAY TABBY,DOMESTIC SH,40216,6877
FOSTER,A717135,40209,STRAY,FIELD,2022-06-02 00:00:00,STRAY,FOSTER,VACATION,2022-07-01 00:00:00,DOG,N,Y,LARGE,YELLOW,LABRADOR RETR / PIT BULL,40218,6878
N10,A694129,40214,STRAY,OTC,2021-06-24 00:00:00,STRAY,ADOPTION,EVENT,2021-07-10 00:00:00,DOG,N,N,MED,RED,PIT BULL,40204,6879
LOST,A701743,,LOST,WEB,2021-09-25 00:00:00,,,,,CAT,F,,SMALL,UNKNOWN,DOMESTIC SH,,6880
K102,A699281,40219,STRAY,OTC,2025-05-05 00:00:00,STRAY,RTO,IN KENNEL,2025-05-08 00:00:00,DOG,S,N,SMALL,WHITE,MALTESE / MIX,40219,6881
ID02,A698169,40219,STRAY,OTC,2022-03-23 00:00:00,STRAY,RTO,,2022-03-30 00:00:00,DOG,N,N,LARGE,BLACK / BROWN,ROTTWEILER,40229,6882
LOST,A690182,,LOST,WEB,2021-03-13 00:00:00,,,,,CAT,F,,,UNKNOWN,DOMESTIC MH,40299,6883
TNR/SNR,A702116,40216,STRAY,OTC,2021-10-01 00:00:00,STRAY,SNR,,2021-10-08 00:00:00,CAT,S,N,LARGE,BLUE,DOMESTIC SH,40216,6884
FOSTER,A702118,40216,STRAY,OTC,2021-10-01 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-10-05 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40216,6885
TNR/SNR,A699760,40291,STRAY,OTC,2021-09-08 00:00:00,STRAY,SNR,,2021-09-10 00:00:00,CAT,N,N,MED,BLACK / WHITE,DOMESTIC SH,40291,6886
N30,A700406,40228,STRAY,OTC,2021-09-14 00:00:00,STRAY,ADOPTION,WALK IN,2021-09-22 00:00:00,DOG,S,N,PUPPY,TAN,POMERANIAN / MIX,40228,6887
FREEZER,A709119,OUT OF COUNTY,OWNER SUR,RETURN 30,2023-08-07 00:00:00,EUTH BEHAV,EUTH,REQUESTED,2023-08-07 00:00:00,DOG,N,N,PUPPY,WHITE / BLACK,PIT BULL,40215,6888
TNR/SNR,A709120,40118,STRAY,OTC,2022-02-10 00:00:00,STRAY,SNR,,2022-02-16 00:00:00,CAT,N,N,MED,BLACK,DOMESTIC SH,40118,6889
ID06,A691555,40272,STRAY,FIELD,2021-04-21 00:00:00,OWNER MED,RTO,IN KENNEL,2021-04-28 00:00:00,DOG,N,N,MED,WHITE / BROWN,STAFFORDSHIRE / MIX,40272,6890
CW10,A691649,40218,STRAY,FIELD,2021-04-24 00:00:00,STRAY,DIED,IN SURGERY,2021-04-26 00:00:00,CAT,S,N,MED,CALICO,DOMESTIC SH,40218,6891
N40,A691711,40291,FOSTER,RETURN,2021-05-28 00:00:00,FOSTER RET,ADOPTION,WALK IN,2021-06-06 00:00:00,CAT,S,N,SMALL,GRAY / WHITE,DOMESTIC SH,40108,6892
FOSTER,A691711,40291,STRAY,OTC,2021-04-26 00:00:00,STRAY,FOSTER,,2021-04-27 00:00:00,CAT,S,N,SMALL,GRAY / WHITE,DOMESTIC SH,40291,6893
N38,A691713,40291,FOSTER,RETURN,2021-05-28 00:00:00,FOSTER RET,ADOPTION,WALK IN,2021-05-29 00:00:00,CAT,N,N,KITTN,BLK TABBY / WHITE,DOMESTIC SH,40108,6894
FOSTER,A691713,40291,STRAY,OTC,2021-04-26 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-04-27 00:00:00,CAT,N,N,KITTN,BLK TABBY / WHITE,DOMESTIC SH,40291,6895
FOUND,A691863,,FOUND,WEB,2021-04-29 00:00:00,,,,,DOG,F,,MED,WHITE,AM PIT BULL TER,40210,6896
FOUND,A691891,,FOUND,WEB,2021-04-30 00:00:00,,,,,DOG,F,,MED,BROWN,PIT BULL,40291,6897
DW06,A691931,40216,STRAY,OTC,2021-05-01 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-05-08 00:00:00,DOG,N,N,MED,WHITE / BLACK,JACK RUSS TER / MIX,40216,6898
N39,A706984,40299,STRAY,OTC,2021-12-11 00:00:00,STRAY,ADOPTION,WALK IN,2021-12-15 00:00:00,CAT,N,N,SMALL,BLACK / BLACK,DOMESTIC SH,40299,6899
N41,A706984,40214,RETURN,ADOPTION,2021-12-22 00:00:00,PETMEDICAL,ADOPTION,WALK IN,2021-12-29 00:00:00,CAT,N,N,SMALL,BLACK / BLACK,DOMESTIC SH,40214,6900
LOST,A707250,,LOST,WEB,2021-12-18 00:00:00,,,,,DOG,F,,SMALL,UNKNOWN,BEAGLE,,6901
N36,A707341,40219,STRAY,OTC,2021-12-22 00:00:00,STRAY,ADOPTION,WALK IN,2022-01-04 00:00:00,DOG,N,Y,SMALL,WHITE / BROWN,JACK RUSS TER / MIX,40219,6902
LOST,A707545,,LOST,WEB,2021-12-27 00:00:00,,,,,CAT,F,,SMALL,UNKNOWN,AMER SH,,6903
DW16,A707559,40219,STRAY,OTC,2021-12-30 00:00:00,STRAY,RTO,IN KENNEL,2022-01-03 00:00:00,DOG,S,N,LARGE,BROWN,BELG MALINOIS / MIX,40228,6904
LOST,A707579,,LOST,WEB,2021-12-27 00:00:00,,,,,DOG,M,,MED,UNKNOWN,PIT BULL,,6905
LOST,A693444,,LOST,WEB,2021-06-06 00:00:00,,,,,CAT,M,,LARGE,UNKNOWN,AMER SH,40205,6906
909,A693678,40212,STRAY,FIELD,2021-06-14 00:00:00,STRAY,TRANSFER,KHS,2021-07-07 00:00:00,DOG,N,N,LARGE,BLACK / BROWN,ROTTWEILER,40212,6907
C220,A693845,40220,STRAY,OTC,2021-06-17 00:00:00,STRAY,FOSTER,,2021-06-19 00:00:00,CAT,S,N,KITTN,BLACK / WHITE,DOMESTIC SH,40218,6908
C216,A693906,40219,STRAY,OTC,2021-06-19 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-06-24 00:00:00,CAT,S,N,KITTN,BLACK,DOMESTIC SH,40219,6909
NF2,A694035,40216,FOSTER,RETURN,2021-07-07 00:00:00,FOSTER RET,ADOPTION,INTERNET,2021-07-09 00:00:00,CAT,S,N,KITTN,ORG TABBY,DOMESTIC MH,40205,6910
FOSTER,A694207,40212,FOSTER,RETURN,2021-07-07 00:00:00,STRAY,TRANSFER,KHS,2021-07-07 00:00:00,DOG,N,N,LARGE,WHITE / GRAY,GREAT DANE / MIX,40299,6911
DW19,A694210,40212,FOSTER,RETURN,2021-08-14 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-08-14 00:00:00,DOG,M,N,TOY,BLACK,POODLE TOY / MIX,40299,6912
N46,A715893,40203,FOSTER,RETURN,2022-06-21 00:00:00,FOSTER RET,ADOPTION,WALK IN,2022-06-27 00:00:00,CAT,S,N,MED,BLACK,DOMESTIC SH,40214,6913
N46,A715896,40218,FOSTER,RETURN,2022-06-30 00:00:00,FOSTER RET,ADOPTION,WALK IN,2022-06-30 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40214,6914
FOSTER,A715926,40258,FOSTER,RETURN,2022-05-17 00:00:00,FOSTER RET,TRANSFER,KHS,2022-05-18 00:00:00,DOG,M,N,PUPPY,TAN,BASSET HOUND / MIX,40222,6915
FOSTER,A715948,40218,FOSTER,RETURN,2022-06-07 00:00:00,FOSTER RET,FOSTER,VACATION,2022-06-08 00:00:00,DOG,S,N,MED,WHITE / BLACK,PIT BULL,40218,6916
NP,A715948,40206,FOSTER,RETURN,2022-06-17 00:00:00,FOSTER RET,ADOPTION,FOSTER,2022-06-17 00:00:00,DOG,S,N,MED,WHITE / BLACK,PIT BULL,40218,6917
LOST,A716041,,LOST,WEB,2022-05-15 00:00:00,,,,,DOG,F,,MED,UNKNOWN,SIBERIAN HUSKY,,6918
C206,A716166,40215,STRAY,OTC,2022-05-18 00:00:00,STRAY,FOSTER,TOO YOUNG,2022-05-20 00:00:00,CAT,S,N,KITTN,TORTIE,DOMESTIC SH,40215-,6919
NF1,A716166,40215,FOSTER,RETURN,2022-08-09 00:00:00,FOSTER RET,ADOPTION,WEB PF,2022-08-11 00:00:00,CAT,S,N,KITTN,TORTIE,DOMESTIC SH,40205,6920
LOST,A716271,,LOST,WEB,2022-05-09 00:00:00,,,,,CAT,F,,MED,UNKNOWN,MAINE COON,,6921
NP,A716319,40211,FOSTER,RETURN,2022-06-22 00:00:00,FOSTER RET,ADOPTION,PRV ADOPT,2022-06-25 00:00:00,CAT,N,N,KITTN,ORG TABBY,DOMESTIC SH,40205,6922
N31,A716373,40215,OWNER SUR,FIELD,2022-05-22 00:00:00,STRAY,ADOPTION,INTERNET,2022-06-13 00:00:00,DOG,S,N,MED,BROWN / WHITE,LABRADOR RETR / BOXER,40215,6923
LOST,A716380,,LOST,WEB,2022-05-21 00:00:00,,,,,CAT,M,,LARGE,UNKNOWN,DOMESTIC LH,,6924
FREEZER,A716473,40229,STRAY,OTC,2022-06-20 00:00:00,STRAY,EUTH,BEHAV HIST,2022-06-29 00:00:00,DOG,M,Y,MED,WHITE / BROWN,AUST CATTLE DOG,40214,6925
LOST,A716481,,LOST,WEB,2022-05-20 00:00:00,,,,,CAT,F,,,UNKNOWN,AMER SH,,6926
LOST,A716508,,LOST,WEB,2022-05-22 00:00:00,,,,,DOG,F,,X-LRG,UNKNOWN,BULLMASTIFF,,6927
FOSTER,A716517,40204,STRAY,OTC,2022-09-27 00:00:00,STRAY,FOSTER,TIME/SPACE,2023-01-21 00:00:00,DOG,N,N,LARGE,TAN / WHITE,PIT BULL,40245,6928
FOSTER,A699705,40220,STRAY,OTC,2021-09-07 00:00:00,STRAY,RTO,IN KENNEL,2021-09-11 00:00:00,DOG,S,N,TOY,TAN / WHITE,CHIHUAHUA SH,40215,6929
LOST,A690190,,LOST,WEB,2021-03-12 00:00:00,,,,,DOG,M,,MED,UNKNOWN,CATAHOULA,40056,6930
FOSTER,A701853,40229,STRAY,OTC,2021-09-28 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-09-30 00:00:00,CAT,S,N,KITTN,BRN TABBY,DOMESTIC SH,40229,6931
N46,A698176,40208,CONFISCATE,ABANDONED,2021-08-22 00:00:00,VIOLATION,ADOPTION,PRV ADOPT,2021-09-17 00:00:00,CAT,S,N,SMALL,BRN TIGER / BLACK,DOMESTIC SH,40218,6932
N33,A682267,40223,OWNER SUR,RETURN 30,2021-07-06 00:00:00,NO TIME,ADOPTION,INTERNET,2021-07-07 00:00:00,DOG,S,N,MED,TRICOLOR,BEAGLE,40223,6933
N41,A715346,40218,FOSTER,RETURN,2022-06-08 00:00:00,FOSTER RET,ADOPTION,WALK IN,2022-06-11 00:00:00,CAT,S,N,KITTN,BLACK,DOMESTIC LH,40150,6934
NF1,A684905,40213,OWNER SUR,OTC,2022-01-16 00:00:00,NO TIME,ADOPTION,WALK IN,2022-01-18 00:00:00,CAT,N,N,KITTN,BLACK / WHITE,DOMESTIC SH,40213,6935
NECROPSY,A699770,40212,CONFISCATE,CRUELTY,2021-09-08 00:00:00,DOA,DISPOSAL,NECROPSY,2021-09-09 00:00:00,DOG,F,N,LARGE,BROWN / WHITE,PIT BULL,40218,6936
NF1,A715366,40222,OWNER SUR,FIELD,2022-05-04 00:00:00,UNKNOWN,TRANSFER,RESCUE GRP,2022-05-17 00:00:00,CAT,S,N,MED,ORG TABBY,DOMESTIC SH,40222,6937
SNIP,A704755,40215,STRAY,OTC,2022-02-15 00:00:00,STRAY,TNR,CARETAKER,2022-02-17 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40215,6938
N08,A685707,40214,CONFISCATE,POLICE,2022-02-15 00:00:00,STRAY,ADOPTION,WALK IN,2022-04-04 00:00:00,DOG,N,N,MED,BLACK / WHITE,PIT BULL / MIX,40218,6939
FOUND,A699175,,FOUND,WEB,2021-08-31 00:00:00,,,,,DOG,M,,LARGE,WHITE,GREAT PYRENEES,40242,6940
TNR/SNR,A701882,40216,STRAY,OTC,2021-09-29 00:00:00,STRAY,SNR,,2021-10-01 00:00:00,CAT,S,N,LARGE,BLACK,DOMESTIC MH,40216,6941
N35,A700286,40229,STRAY,OTC,2021-09-10 00:00:00,STRAY,ADOPTION,THIRDPARTY,2021-09-17 00:00:00,DOG,S,N,SMALL,BROWN / WHITE,BEAGLE,40229,6942
C214,A715376,40222,OWNER SUR,FIELD,2022-05-04 00:00:00,UNKNOWN,FOSTER,TOO YOUNG,2022-05-05 00:00:00,CAT,S,N,KITTN,TORTIE,DOMESTIC SH,40222,6943
SNIP,A704757,40215,STRAY,OTC,2022-02-15 00:00:00,STRAY,TNR,CARETAKER,2022-02-17 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40215,6944
ACO UNIT,A685782,40220,STRAY,FIELD,2023-07-01 00:00:00,STRAY,RTO,IN KENNEL,2023-07-01 00:00:00,DOG,S,N,SMALL,BROWN,DACHSHUND / CHIHUAHUA SH,40218,6945
N19,A700710,40258,STRAY,OTC,2021-09-16 00:00:00,ABANDON,ADOPTION,INTERNET,2021-10-18 00:00:00,DOG,S,N,MED,TAN,PIT BULL / MIX,40272,6946
FOLLOWUP,A701533,40212,STRAY,OTC,2021-09-21 00:00:00,STRAY,SNR,,2021-09-23 00:00:00,CAT,S,N,MED,BLACK,DOMESTIC SH,40219,6947
N47,A701544,40291,OWNER SUR,OTC,2021-09-21 00:00:00,BITES,ADOPTION,WALK IN,2021-10-26 00:00:00,CAT,S,Y,LARGE,ORG TABBY / WHITE,DOMESTIC SH,40291,6948
N14,A701582,40204,STRAY,OTC,2021-09-22 00:00:00,STRAY,ADOPTION,WALK IN,2021-10-02 00:00:00,DOG,N,N,LARGE,BR BRINDLE / WHITE,LABRADOR RETR / BLUETICK HOUND,40203,6949
407,A701602,40229,FOSTER,RETURN,2022-08-08 00:00:00,STRAY,TRANSFER,RESCUE GRP,2022-08-08 00:00:00,DOG,M,N,MED,BROWN / BLACK,BLACK/TAN HOUND,40026,6950
N14,A701659,40210,STRAY,FIELD,2021-09-23 00:00:00,STRAY,RTO,IN KENNEL,2021-10-22 00:00:00,DOG,S,N,LARGE,BROWN,LABRADOR RETR,40218,6951
N07,A701662,40291,STRAY,OTC,2021-09-23 00:00:00,STRAY,ADOPTION,WALK IN,2021-10-01 00:00:00,DOG,S,N,LARGE,GRAY / WHITE,WEIMARANER / MIX,40291,6952
TNR/SNR,A701676,40211,STRAY,OTC,2021-09-24 00:00:00,STRAY,SNR,,2021-09-29 00:00:00,CAT,N,N,SMALL,FLAME PT,SIAMESE / MIX,40219,6953
C201,A701741,40211,STRAY,OTC,2021-09-24 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-10-01 00:00:00,CAT,N,N,KITTN,WHITE / BRN TABBY,DOMESTIC SH,40219,6954
TNR/SNR,A701781,40118,STRAY,OTC,2021-09-27 00:00:00,STRAY,SNR,,2021-10-08 00:00:00,CAT,S,N,KITTN,BRN TABBY,DOMESTIC SH,40118,6955
LOST,A699244,,LOST,WEB,2021-09-01 00:00:00,,,,,DOG,M,,SMALL,UNKNOWN,BOSTON TERRIER,40229,6956
FOSTER,A700321,40210,STRAY,FIELD,2021-09-12 00:00:00,INJURED,TRANSFER,KHS,2021-09-17 00:00:00,DOG,F,N,TOY,BLACK / TAN,CHIHUAHUA SH,40210,6957
ACO UNIT,A700424,40207,STRAY,FIELD,2021-09-14 00:00:00,STRAY,EUTH,RABIESTEST,2021-09-14 00:00:00,OTHER,F,Y,SMALL,BROWN,BAT,40065,6958
907,A708863,40215,STRAY,OTC,2022-02-04 00:00:00,STRAY,TRANSPORT,RESCUE GRP,2022-02-19 00:00:00,DOG,N,N,MED,BLACK,LABRADOR RETR,40272,6959
ACO UNIT,A709006,40214,STRAY,FIELD,2022-02-06 00:00:00,STRAY,EUTH,INHUMANE,2022-02-06 00:00:00,CAT,F,N,MED,WHITE / GRAY,SIAMESE / MIX,40218,6960
FOSTER,A689733,40212,STRAY,OTC,2021-03-04 00:00:00,STRAY,FOSTER,BEHAV OBSV,2021-03-06 00:00:00,CAT,S,Y,KITTN,WHITE / GRAY,DOMESTIC SH,40212,6961
N37,A689786,40210,FOSTER,RETURN,2021-05-10 00:00:00,STRAY,ADOPTION,WALK IN,2021-05-11 00:00:00,CAT,N,N,KITTN,BRN TABBY,DOMESTIC SH,40214,6962
611,A689818,40207,OWNER SUR,EUTH REQ,2021-03-07 00:00:00,BITES,EUTH,REQUESTED,2021-03-17 00:00:00,DOG,N,Y,MED,BLACK,LABRADOR RETR / CHINESE SHARPEI,40207,6963
BARN,A690039,40213,STRAY,OTC,2021-03-12 00:00:00,STRAY,TRANSFER,KHS,2021-03-18 00:00:00,DOG,F,N,PUPPY,BL BRINDLE / WHITE,PIT BULL,40206,6964
ACO UNIT,A696680,40222,STRAY,FIELD,2021-08-01 00:00:00,STRAY,EUTH,INHUMANE,2021-08-01 00:00:00,CAT,U,N,SMALL,GRAY,DOMESTIC SH,40218,6965
N31,A696869,40214,STRAY,OTC,2021-08-04 00:00:00,STRAY,ADOPTION,INTERNET,2021-08-12 00:00:00,DOG,S,N,TOY,CREAM,CHIHUAHUA SH / BOSTON TERRIER,40214,6966
ID05,A696874,40218,STRAY,OTC,2021-09-03 00:00:00,STRAY,RTO,IN KENNEL,2021-09-08 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,SIBERIAN HUSKY / MIX,40165,6967
DW17,A696949,40218,FOSTER,RETURN,2021-08-20 00:00:00,FOSTER RET,ADOPTION,WALK IN,2021-08-20 00:00:00,DOG,N,N,PUPPY,BLACK / BROWN,DOBERMAN PINSCH / MIX,40218,6968
C124,A697211,40214,STRAY,OTC,2021-08-06 00:00:00,STRAY,SNR,,2021-08-13 00:00:00,CAT,N,N,LARGE,BUFF / WHITE,DOMESTIC SH,40214,6969
FOLLOWUP,A697211,40214,STRAY,OTC,2022-06-17 00:00:00,STRAY,RTF,,2022-07-02 00:00:00,CAT,N,N,LARGE,BUFF / WHITE,DOMESTIC SH,40214,6970
LOST,A697237,,LOST,WEB,2021-08-06 00:00:00,,,,,CAT,M,,,UNKNOWN,AMER SH,40214,6971
FREEZER,A697680,40214,STRAY,FIELD,2021-08-15 00:00:00,STRAY,EUTH,INHUMANE,2021-08-15 00:00:00,DOG,M,N,LARGE,BLACK,GERM SHEPHERD,40214,6972
208,A697801,40213,STRAY,OTC,2022-01-10 00:00:00,STRAY,TRANSFER,RESCUE GRP,2022-01-12 00:00:00,DOG,F,N,LARGE,TAN / BLACK,GERM SHEPHERD,40211,6973
NECROPSY,A697811,40210,CONFISCATE,NEGLECT,2021-08-16 00:00:00,UNKNOWN,DISPOSAL,NECROPSY,2021-08-17 00:00:00,DOG,N,N,MED,BLACK / BROWN,BLACK/TAN HOUND,40218,6974
N47,A697828,40210,CONFISCATE,NEGLECT,2021-08-16 00:00:00,UNKNOWN,ADOPTION,WALK IN,2021-09-26 00:00:00,CAT,N,N,MED,WHITE / GRAY,DOMESTIC SH,40218,6975
FOSTER,A697833,40210,CONFISCATE,NEGLECT,2021-08-16 00:00:00,UNKNOWN,FOSTER,BREED,2021-08-26 00:00:00,OTHER,F,N,SMALL,GRAY / WHITE,RAT,40218,6976
FOUND,A698107,,FOUND,WEB,2021-08-19 00:00:00,,,,,DOG,M,,,UNKNOWN / WHITE,PIT BULL,40223,6977
NF2,A698109,40218,FOSTER,RETURN,2021-10-13 00:00:00,FOSTER RET,ADOPTION,PRV ADOPT,2021-10-16 00:00:00,CAT,S,N,KITTN,BRN TABBY / CALICO,DOMESTIC MH,40213,6978
903,A698133,40216,STRAY,OTC,2021-08-21 00:00:00,STRAY,TRANSPORT,RESCUE GRP,2021-09-11 00:00:00,DOG,N,N,LARGE,TAN / WHITE,AUST CATTLE DOG / MIX,40216,6979
N10,A684860,40216,OWNER SUR,RETURN 30,2021-01-06 00:00:00,CHILD PROB,ADOPTION,WALK IN,2021-02-07 00:00:00,DOG,N,N,MED,BL BRINDLE,PIT BULL,40216,6980
INTAKE,A685072,40218,OWNER SUR,OTC,2022-03-10 00:00:00,PETMEDICAL,EUTH,REQUESTED,2022-03-10 00:00:00,CAT,S,N,LARGE,CALICO,DOMESTIC MH,40218,6981
C121,A700689,40216,STRAY,OTC,2021-09-15 00:00:00,STRAY,TRANSFER,KHS,2021-09-30 00:00:00,CAT,S,N,MED,GRAY,DOMESTIC SH,40216,6982
NP,A700691,40204,FOSTER,RETURN,2023-06-28 00:00:00,FOSTER RET,ADOPTION,FOSTER,2023-06-28 00:00:00,CAT,N,N,LARGE,WHITE / BLACK,DOMESTIC SH,40204,6983
FOUND,A701129,,FOUND,WEB,2021-09-19 00:00:00,,,,,DOG,F,,SMALL,BROWN / BLACK,YORKSHIRE TERR,40272,6984
C214,A715378,40222,OWNER SUR,FIELD,2022-05-04 00:00:00,UNKNOWN,FOSTER,TOO YOUNG,2022-05-05 00:00:00,CAT,F,N,KITTN,ORANGE,DOMESTIC SH,40222,6985
ACO UNIT,A698900,40208,DISPOSAL,FIELD,2021-08-28 00:00:00,EUTH OTHER,EUTH,RABIESTEST,2021-08-28 00:00:00,OTHER,U,Y,SMALL,BROWN,BAT,40208,6986
SNIP,A704768,40272,STRAY,OTC,2022-02-16 00:00:00,STRAY,TNR,CARETAKER,2022-02-18 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40272,6987
C214,A715380,40222,OWNER SUR,FIELD,2022-05-04 00:00:00,UNKNOWN,DIED,IN KENNEL,2022-05-05 00:00:00,CAT,M,N,KITTN,ORANGE,DOMESTIC SH,40222,6988
804,A698902,40214,STRAY,FIELD,2021-08-28 00:00:00,STRAY,RTO,IN KENNEL,2021-08-29 00:00:00,DOG,M,N,LARGE,BL BRINDLE,CANE CORSO,40214,6989
FOLLOWUP,A700359,40209,STRAY,OTC,2021-09-13 00:00:00,STRAY,SNR,,2021-09-15 00:00:00,CAT,S,N,MED,GRAY TABBY,DOMESTIC SH,40205,6990
INTAKE,A704787,40203,STRAY,OTC,2022-03-14 00:00:00,STRAY,TNR,CARETAKER,2022-03-16 00:00:00,CAT,N,N,MED,GRAY TABBY / WHITE,DOMESTIC SH,40212,6991
FOSTER,A699206,40222,STRAY,OTC,2021-08-31 00:00:00,STRAY,FOSTER,,2021-09-03 00:00:00,DOG,N,N,LARGE,WHITE,GREAT PYRENEES,40242,6992
TNR/SNR,A698942,40214,STRAY,OTC,2021-08-29 00:00:00,STRAY,SNR,,2021-09-01 00:00:00,CAT,N,N,KITTN,BLACK / WHITE,DOMESTIC SH,40214,6993
ID05,A700415,40218,STRAY,OTC,2022-05-09 00:00:00,STRAY,RTO,IN KENNEL,2022-05-10 00:00:00,DOG,N,N,LARGE,BLACK,PIT BULL,40214,6994
INTAKE,A704806,40215,STRAY,OTC,2022-04-11 00:00:00,STRAY,TNR,CARETAKER,2022-04-13 00:00:00,CAT,S,N,MED,GRAY TABBY,DOMESTIC SH,40215,6995
C222,A699239,40218,STRAY,OTC,2021-09-01 00:00:00,STRAY,TRANSFER,KHS,2021-09-07 00:00:00,CAT,M,N,KITTN,BLACK,DOMESTIC SH,40218,6996
LOST,A715445,,LOST,WEB,2022-05-04 00:00:00,,,,,DOG,F,,,UNKNOWN,PIT BULL,,6997
VET,A699345,40222,STRAY,OTC,2021-09-04 00:00:00,STRAY,TRANSPORT,RESCUE GRP,2021-09-11 00:00:00,DOG,N,N,SMALL,BLACK / WHITE,MEX HAIRLESS,40299,6998
FOSTER,A701563,40291,STRAY,OTC,2021-09-21 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-09-23 00:00:00,CAT,N,Y,KITTN,GRAY / WHITE,DOMESTIC MH,40291,6999
FOUND,A705792,,FOUND,WEB,2021-11-14 00:00:00,,,,,CAT,M,,SMALL,WHITE / BROWN,DOMESTIC SH,,7000
NF2,A699697,40222,RETURN,ADOPTION,2021-12-07 00:00:00,ALLERGIC,ADOPTION,INTERNET,2021-12-11 00:00:00,CAT,N,N,KITTN,BRN TABBY / WHITE,DOMESTIC SH,40222,7001
LOST,A715472,,LOST,WEB,2022-05-01 00:00:00,,,,,CAT,F,,SMALL,UNKNOWN,DOMESTIC MH,,7002
N12,A699369,40211,STRAY,FIELD,2021-09-05 00:00:00,STRAY,ADOPTION,WALK IN,2021-09-19 00:00:00,DOG,N,N,MED,BROWN,BOXER,40218,7003
C303,A699756,40272,STRAY,OTC,2021-09-08 00:00:00,STRAY,EUTH,MEDICAL,2021-09-15 00:00:00,CAT,N,N,MED,WHITE / GRAY,DOMESTIC SH,40213,7004
FOSTER,A700234,40118,STRAY,OTC,2021-09-09 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-09-15 00:00:00,CAT,F,N,KITTN,BRN TABBY / WHITE,DOMESTIC SH,40118,7005
ACO UNIT,A700255,40216,STRAY,FIELD,2021-09-09 00:00:00,STRAY,RTO,IN FIELD,2021-09-09 00:00:00,DOG,S,Y,LARGE,BLACK / BROWN,LABRADOR RETR / PIT BULL,40218,7006
LOST,A700288,,LOST,WEB,2021-09-01 00:00:00,,,,,CAT,F,,SMALL,UNKNOWN,DOMESTIC SH,40243,7007
ACO UNIT,A700299,40218,STRAY,FIELD,2021-09-10 00:00:00,STRAY,EUTH,INHUMANE,2021-09-10 00:00:00,CAT,U,N,MED,WHITE / GRAY,DOMESTIC SH,40218,7008
INTAKE,A708833,40217,STRAY,OTC,2022-03-23 00:00:00,STRAY,TNR,CARETAKER,2022-03-25 00:00:00,CAT,N,N,MED,ORG TABBY,DOMESTIC SH,40217,7009
N12,A708850,40215,STRAY,OTC,2022-02-04 00:00:00,STRAY,ADOPTION,WALK IN,2022-06-02 00:00:00,DOG,N,N,LARGE,RED,STAFFORDSHIRE,40215,7010
LOST,A697308,,LOST,WEB,2021-08-08 00:00:00,,,,,DOG,M,,MED,UNKNOWN,BOXER,40067,7011
N19,A697381,40219,OWNER SUR,FIELD,2021-08-11 00:00:00,STRAY,ADOPTION,WALK IN,2022-02-16 00:00:00,DOG,N,N,LARGE,BLUE / BROWN,PIT BULL,40219,7012
FOUND,A697508,,FOUND,WEB,2021-08-10 00:00:00,,,,,DOG,M,,MED,UNKNOWN / BROWN,ALASKAN HUSKY,40216,7013
